"player","pos","age","team","games_played","games_started","min","fg","fga","fg_perc","threes_made","threes_att","threes_perc","twos_made","twos_att","twos_perc","efg_perc","ft","fta","ft_perc","o_reb","d_reb","tot_reb","ast","stl","blk","tover","fouls","pts","year","height","weight","college","yr_start","yr_retire","rookie","miss","eff","prim_pos","pos_num","year_exp"
"Corey Maggette","SG",22,"LAC",63,52,25.6,3.7,8.4,0.443,0.7,2.2,0.331,3,6.2,0.483,0.487,3.2,4,0.801,0.9,2.8,3.7,1.8,0.7,0.3,1.8,2.5,11.4,2001,78,218,"Duke",2000,2013,"Not Rookie",4.7,11.4,"SG",2,1
"Danny Ferry","SF",35,"SAS",50,2,16,1.5,3.5,0.429,0.9,2,0.434,0.7,1.6,0.423,0.551,0.7,0.7,0.944,0.3,1.5,1.8,1,0.3,0.2,0.4,1.4,4.6,2001,82,230,"Duke",1991,2003,"Not Rookie",2,5.5,"SF",3,10
"Elton Brand","PF",22,"LAC",80,80,37.8,6.7,12.6,0.527,0,0,0,6.7,12.6,0.527,0.527,4.9,6.6,0.742,5,6.6,11.6,2.4,1,2,2.2,3.2,18.2,2001,80,275,"Duke",2000,2016,"Not Rookie",5.9,27.1,"PF",4,1
"Grant Hill","SF",29,"ORL",14,14,36.6,5.9,13.9,0.426,0,0.1,0,5.9,13.8,0.43,0.426,4.9,5.7,0.863,2.1,6.9,8.9,4.6,0.6,0.3,2.6,2.9,16.8,2001,80,225,"Duke",1995,2013,"Not Rookie",8,20.6,"SF",3,6
"Shane Battier","SF",23,"MEM",78,78,39.7,5.3,12.3,0.429,1.3,3.5,0.373,4,8.8,0.451,0.482,2.5,3.6,0.7,2.3,3.1,5.4,2.8,1.6,1,2,2.8,14.4,2001,80,220,"Duke",2002,2014,"Not Rookie",7,16.2,"SF",3,-1
"Trajan Langdon","SG",25,"CLE",44,0,10.8,1.6,4,0.398,0.6,1.7,0.365,1,2.3,0.422,0.474,1,1,0.913,0.3,1,1.3,1.4,0.3,0.1,0.9,1.1,4.8,2001,75,197,"Duke",2000,2002,"Not Rookie",2.4,4.6,"SG",2,1
"William Avery","PG",22,"MIN",28,0,9.2,0.9,3.2,0.289,0.2,1.3,0.171,0.7,2,0.364,0.322,0.5,0.7,0.684,0.1,0.7,0.9,1.3,0.3,0,0.7,0.6,2.5,2001,74,197,"Duke",2000,2002,"Not Rookie",2.3,2,"PG",1,1
"Carlos Boozer","PF",21,"CLE",81,54,25.3,4.1,7.6,0.536,0,0,0,4.1,7.6,0.536,0.536,1.8,2.4,0.771,2.5,5,7.5,1.3,0.7,0.6,1.3,2.8,10,2002,81,258,"Duke",2003,2015,"Not Rookie",3.5,15.3,"PF",4,-1
"Cherokee Parks","PF",30,"LAC",30,18,21.6,2.7,5.4,0.503,0,0.1,0.5,2.7,5.4,0.503,0.506,0.8,1.3,0.605,1.5,2.9,4.4,0.7,0.5,0.7,0.6,1.7,6.3,2002,83,235,"Duke",1996,2004,"Not Rookie",2.7,9.3,"PF",4,6
"Christian Laettner","PF",33,"WAS",76,66,29.1,3.4,6.8,0.494,0,0.2,0.125,3.3,6.6,0.506,0.496,1.6,1.9,0.833,1.5,5.1,6.6,3.1,1.1,0.5,1.1,2.7,8.3,2002,83,235,"Duke",1993,2005,"Not Rookie",3.4,15.1,"PF",4,9
"Corey Maggette","SG",23,"LAC",64,57,31.3,5.4,12.1,0.444,1,2.8,0.35,4.4,9.3,0.471,0.484,5.1,6.3,0.802,1.2,3.8,5,1.9,0.9,0.3,2.3,3,16.8,2002,78,218,"Duke",2000,2013,"Not Rookie",6.7,15.9,"SG",2,2
"Danny Ferry","SF",36,"SAS",64,1,9.4,0.7,1.9,0.355,0.3,0.9,0.35,0.4,1,0.359,0.44,0.2,0.2,0.769,0.3,0.9,1.2,0.3,0.1,0.1,0.4,0.9,1.9,2002,82,230,"Duke",1991,2003,"Not Rookie",1.2,2,"SF",3,11
"Elton Brand","PF",23,"LAC",62,61,39.6,7.3,14.5,0.502,0,0,0,7.3,14.5,0.502,0.502,3.9,5.7,0.685,4.6,6.8,11.3,2.5,1.1,2.5,2.6,3.3,18.5,2002,80,275,"Duke",2000,2016,"Not Rookie",7.2,26.1,"PF",4,2
"Grant Hill","SF",30,"ORL",29,29,29.1,5.2,10.6,0.492,0,0.1,0.25,5.2,10.4,0.495,0.493,4.1,5,0.819,1.4,5.7,7.1,4.2,1,0.4,2.9,1.6,14.5,2002,80,225,"Duke",1995,2013,"Not Rookie",5.4,18.9,"SF",3,7
"Jay Williams","PG",21,"CHI",75,54,26.1,3.6,9.1,0.399,0.9,2.7,0.322,2.8,6.4,0.431,0.446,1.4,2.1,0.64,0.4,2.2,2.6,4.7,1.1,0.2,2.3,2.4,9.5,2002,74,195,"Duke",2003,2003,"Not Rookie",5.5,10.3,"PG",1,-1
"Shane Battier","SF",24,"MEM",78,47,30.6,3.5,7.3,0.483,1.1,2.8,0.398,2.4,4.5,0.535,0.559,1.5,1.9,0.828,1.6,2.8,4.4,1.3,1.3,1.1,0.9,2.7,9.7,2002,80,220,"Duke",2002,2014,"Rookie",3.8,13.1,"SF",3,0
